trade_num,balance,pnl,edge,side
65,3716.2876,245.4672,0.1707,NO
66,3947.7738,231.4862,0.1145,NO
67,4164.8840,217.1103,0.0936,YES
68,4018.1580,-146.7260,0.0914,YES
69,4255.2620,237.1040,0.1349,NO
70,4583.5940,328.3320,0.1150,YES
71,4817.3002,233.7062,0.1224,YES
72,4317.3002,-500.0000,0.1568,YES
73,4078.4456,-238.8546,0.1299,YES
74,3844.5069,-233.9387,0.0889,YES
75,3577.6513,-266.8556,0.1608,YES
76,3200.3559,-377.2954,0.1508,NO
77,3412.6334,212.2775,0.1514,YES
78,3686.0392,273.4057,0.1245,NO
79,3916.7265,230.6874,0.1014,NO
80,4280.1784,363.4519,0.1547,YES
81,4064.5366,-215.6418,0.1173,NO
82,3772.7617,-291.7749,0.1349,NO
83,4088.1865,315.4248,0.1995,NO
84,3720.3899,-367.7966,0.1904,NO
85,3537.9844,-182.4054,0.0987,NO
86,3283.9664,-254.0180,0.1703,YES
87,3622.8899,338.9235,0.2112,YES
88,3327.5622,-295.3277,0.1210,NO
89,3180.8913,-146.6710,0.1093,NO
90,3328.2904,147.3991,0.1023,NO
91,3109.2963,-218.9941,0.1411,YES
92,3418.6935,309.3971,0.1752,YES
93,3669.5860,250.8925,0.1374,NO
94,4026.9828,357.3968,0.1880,YES
95,4287.1790,260.1962,0.1475,YES
96,4129.7496,-157.4295,0.0914,YES
97,3930.1780,-199.5716,0.1242,YES
98,4199.7126,269.5346,0.1463,YES
99,4585.2144,385.5017,0.1595,NO
100,4415.0091,-170.2053,0.0856,YES
101,4742.7268,327.7177,0.1733,YES
102,4431.5280,-311.1988,0.1666,YES
103,4237.6365,-193.8915,0.1074,YES
104,3932.8717,-304.7648,0.1628,NO
105,3760.2440,-172.6277,0.0853,YES
106,3562.0980,-198.1459,0.0894,NO
107,3781.7609,219.6629,0.1249,YES
108,3455.3010,-326.4599,0.1490,NO
109,3767.7772,312.4762,0.1354,YES
110,3914.7265,146.9493,0.0984,NO
111,3741.8133,-172.9132,0.1060,NO
112,3499.3723,-242.4410,0.1230,YES
113,3666.4896,167.1173,0.1238,NO
114,3805.8753,139.3858,0.0811,NO
115,4088.5328,282.6574,0.1131,NO
116,3836.7172,-251.8155,0.1111,NO
117,3538.2244,-298.4929,0.1238,YES
118,3708.3288,170.1044,0.1015,YES
119,3949.3824,241.0536,0.1548,NO
120,4250.2718,300.8894,0.1285,NO
121,4700.6649,450.3932,0.1546,NO
122,5006.1211,305.4562,0.1269,NO
123,4759.7668,-246.3543,0.1239,YES
124,5245.4427,485.6760,0.1453,YES
125,5543.1107,297.6680,0.1117,YES
126,5859.4134,316.3027,0.1324,YES
127,5359.4134,-500.0000,0.1808,YES
128,5746.9922,387.5788,0.1378,NO
129,6316.1596,569.1674,0.1496,NO
130,6646.4074,330.2479,0.1165,YES
131,6231.3442,-415.0632,0.1045,YES
132,6579.0157,347.6715,0.1094,NO
133,6162.7644,-416.2514,0.1153,YES
134,5853.0666,-309.6978,0.1283,NO
135,5539.4181,-313.6486,0.1030,NO
136,6018.7773,479.3593,0.1804,NO
137,6326.3185,307.5412,0.0866,YES
138,6789.4445,463.1260,0.1403,NO
139,6500.2360,-289.2085,0.0846,NO
140,6859.9165,359.6806,0.1213,NO
141,7139.2996,279.3831,0.0941,NO
142,6776.7902,-362.5094,0.1173,NO
143,7333.0929,556.3027,0.1241,YES
144,7749.4651,416.3722,0.1225,NO
145,8422.5700,673.1048,0.1790,NO
146,8860.6373,438.0674,0.0872,YES
147,9233.4443,372.8070,0.1298,YES
148,8733.4443,-500.0000,0.1177,NO
149,9212.9858,479.5415,0.0879,NO
150,9733.8951,520.9093,0.1229,NO
151,9233.8951,-500.0000,0.1261,NO
152,9739.3980,505.5029,0.1765,YES
153,10221.3673,481.9692,0.1774,NO
154,9721.3673,-500.0000,0.1498,YES
155,10284.7169,563.3496,0.1134,YES
156,10987.0378,702.3209,0.1111,NO
157,10487.0378,-500.0000,0.0989,NO
158,9987.0378,-500.0000,0.1272,NO
159,10378.6307,391.5929,0.0923,NO
160,9892.1098,-486.5210,0.0802,YES
161,10365.4430,473.3332,0.0822,YES
162,9865.4430,-500.0000,0.1273,NO
163,10383.8274,518.3844,0.1340,YES
164,9883.8274,-500.0000,0.1033,YES
165,10295.6456,411.8182,0.1332,YES
166,10598.8282,303.1826,0.1040,YES
167,11274.4339,675.6057,0.1373,NO
168,10774.4339,-500.0000,0.1496,NO
169,11278.1707,503.7368,0.1641,YES
170,10805.5700,-472.6007,0.1034,NO
171,10305.5700,-500.0000,0.1485,YES
172,10920.8559,615.2859,0.1247,NO
173,10420.8559,-500.0000,0.1220,NO
174,9920.8559,-500.0000,0.0953,NO
175,10337.2586,416.4027,0.1025,NO
176,11148.2871,811.0285,0.1209,YES
177,11437.4808,289.1937,0.1086,YES
178,11837.3361,399.8554,0.0891,NO
179,11337.3361,-500.0000,0.1313,YES
180,10837.3361,-500.0000,0.0802,NO
181,10337.3361,-500.0000,0.1091,NO
182,9837.3361,-500.0000,0.1345,NO
183,9337.3361,-500.0000,0.1684,YES
184,9907.3738,570.0377,0.0971,YES
185,10571.2347,663.8609,0.1013,YES
186,11070.2610,499.0263,0.1759,NO
187,10570.2610,-500.0000,0.1708,NO
188,10070.2610,-500.0000,0.1220,YES
189,10451.8996,381.6386,0.1706,NO
190,9951.8996,-500.0000,0.1274,NO
191,9527.6786,-424.2210,0.0893,NO
192,9936.3267,408.6481,0.1352,NO
193,10549.1130,612.7863,0.1087,NO
194,10907.2415,358.1285,0.1433,YES
195,11483.9706,576.7291,0.1350,YES
196,10983.9706,-500.0000,0.1660,YES
197,11449.3928,465.4222,0.1309,NO
198,11729.4398,280.0470,0.1699,YES
199,12621.2712,891.8314,0.1837,NO
200,12121.2712,-500.0000,0.1069,NO
201,11621.2712,-500.0000,0.1298,NO
202,11121.2712,-500.0000,0.1347,NO
203,10621.2712,-500.0000,0.1234,NO
204,10121.2712,-500.0000,0.1241,YES
205,10837.3518,716.0806,0.1301,NO
206,11380.7443,543.3925,0.1130,YES
207,10946.3865,-434.3579,0.0914,YES
208,11447.7881,501.4016,0.1608,YES
209,10972.9278,-474.8602,0.0913,NO
210,11376.6241,403.6962,0.0862,YES
211,10876.6241,-500.0000,0.2316,NO
212,11554.5935,677.9694,0.0873,NO
213,11988.1422,433.5487,0.1291,NO
214,12890.2079,902.0658,0.1534,NO
215,12390.2079,-500.0000,0.1185,YES
216,11890.2079,-500.0000,0.1177,YES
217,11390.2079,-500.0000,0.0859,YES
218,11695.3335,305.1256,0.1656,YES
219,11195.3335,-500.0000,0.1391,YES
220,11543.1338,347.8003,0.1008,NO
221,11844.3567,301.2229,0.1567,YES
222,11344.3567,-500.0000,0.1407,NO
223,10844.3567,-500.0000,0.1045,YES
224,10344.3567,-500.0000,0.1231,NO
225,10695.8486,351.4920,0.1328,YES
226,10195.8486,-500.0000,0.0841,NO
227,10797.2234,601.3747,0.0951,NO
228,10297.2234,-500.0000,0.1209,NO
229,9797.2234,-500.0000,0.1290,YES
230,10215.0388,417.8154,0.1338,YES
231,10719.4837,504.4449,0.1522,YES
232,11242.5309,523.0472,0.1087,NO
233,10850.4892,-392.0416,0.0884,NO
234,10350.4892,-500.0000,0.1078,NO
235,10748.0196,397.5304,0.1501,YES
236,11542.6463,794.6267,0.1079,NO
237,12353.9848,811.3385,0.1003,NO
238,13222.7350,868.7502,0.1030,NO
239,13931.5397,708.8047,0.2237,YES
240,14284.6460,353.1063,0.2238,YES
241,14990.0886,705.4426,0.1226,YES
242,15758.2671,768.1785,0.0929,YES
243,16234.7064,476.4392,0.2379,YES
244,16554.4667,319.7603,0.1081,YES
245,17172.7061,618.2394,0.1273,YES
246,17489.7364,317.0303,0.0914,NO
247,17846.7738,357.0374,0.1188,YES
248,18504.6446,657.8708,0.1298,NO
249,18004.6446,-500.0000,0.1744,YES
250,18314.2151,309.5705,0.1442,NO
251,19150.2663,836.0512,0.0855,YES
252,19680.1472,529.8808,0.1111,NO
253,20242.2088,562.0617,0.1759,NO
254,20634.2157,392.0068,0.1056,YES
255,21437.7496,803.5339,0.1088,NO
256,21742.2881,304.5386,0.0803,NO
257,21242.2881,-500.0000,0.1319,YES
258,21543.0688,300.7807,0.1027,NO
259,21917.7470,374.6782,0.1228,YES
260,22531.5962,613.8492,0.0934,YES
261,22031.5962,-500.0000,0.1867,YES
262,22486.9331,455.3369,0.0899,YES
263,22997.7349,510.8018,0.0980,YES
264,22497.7349,-500.0000,0.1015,YES
265,21997.7349,-500.0000,0.1132,YES
266,21497.7349,-500.0000,0.0863,NO
267,22418.8688,921.1339,0.1068,YES
268,21918.8688,-500.0000,0.1540,YES
269,22437.4992,518.6304,0.1373,NO
270,22850.3557,412.8565,0.1169,NO
271,23295.7727,445.4170,0.2051,YES
272,22795.7727,-500.0000,0.1204,NO
273,23287.2431,491.4704,0.1072,NO
274,23889.6529,602.4098,0.1303,YES
275,24509.5888,619.9359,0.1668,NO
276,24784.3818,274.7930,0.1099,YES
277,24284.3818,-500.0000,0.1464,YES
278,23784.3818,-500.0000,0.1229,NO
279,24121.4939,337.1121,0.0871,NO
280,24733.6293,612.1354,0.1264,NO
281,25055.2824,321.6531,0.1708,YES
282,25454.4307,399.1483,0.1044,NO
283,26098.2020,643.7713,0.1240,NO
284,25598.2020,-500.0000,0.1785,NO
285,25926.9148,328.7128,0.1350,YES
286,26490.4393,563.5244,0.1117,YES
287,27101.7465,611.3072,0.1065,YES
288,26601.7465,-500.0000,0.1539,YES
289,26941.1169,339.3704,0.0823,YES
290,27710.3674,769.2505,0.1723,YES
291,28007.3147,296.9474,0.1587,NO
292,27507.3147,-500.0000,0.1753,NO
293,27007.3147,-500.0000,0.1624,NO
294,27436.3975,429.0827,0.0812,YES
295,27785.4396,349.0422,0.1310,YES
296,27285.4396,-500.0000,0.1598,NO
297,26785.4396,-500.0000,0.1400,YES
298,27253.8784,468.4388,0.1180,YES
299,27657.1522,403.2739,0.1413,NO
300,27157.1522,-500.0000,0.1622,NO
301,27989.4242,832.2720,0.1085,YES
302,28475.1887,485.7644,0.0877,YES
303,27975.1887,-500.0000,0.1545,YES
304,28393.9827,418.7940,0.1005,YES
305,29068.7982,674.8155,0.0830,YES
306,28568.7982,-500.0000,0.1059,YES
307,28068.7982,-500.0000,0.0984,YES
308,28925.2847,856.4864,0.1743,NO
309,28425.2847,-500.0000,0.0979,YES
310,28881.3477,456.0630,0.0920,NO
311,29294.6225,413.2749,0.0845,NO
312,29563.8616,269.2391,0.2116,YES
313,29063.8616,-500.0000,0.1303,YES
314,28563.8616,-500.0000,0.1047,YES
315,28063.8616,-500.0000,0.1343,YES
316,27563.8616,-500.0000,0.1408,NO
317,27949.5673,385.7057,0.1234,NO
318,27449.5673,-500.0000,0.1632,NO
319,27993.6829,544.1156,0.1408,NO
320,28377.9054,384.2226,0.1766,NO
321,27877.9054,-500.0000,0.0993,YES
322,27377.9054,-500.0000,0.1316,NO
323,27706.0385,328.1331,0.1025,YES
324,28393.5038,687.4653,0.1137,NO
325,27893.5038,-500.0000,0.1137,YES
326,28344.9226,451.4188,0.1891,NO
327,28926.0649,581.1423,0.1315,YES
328,28426.0649,-500.0000,0.2486,NO
329,27926.0649,-500.0000,0.1413,YES
330,27426.0649,-500.0000,0.1450,YES
331,27752.3144,326.2495,0.1477,NO
332,28139.5163,387.2020,0.1233,NO
333,28570.8870,431.3707,0.1241,YES
334,28070.8870,-500.0000,0.1769,YES
335,27570.8870,-500.0000,0.0911,YES
336,27981.1176,410.2305,0.1225,YES
337,28572.3891,591.2715,0.1615,YES
338,28072.3891,-500.0000,0.1306,NO
339,27572.3891,-500.0000,0.1107,YES
340,28236.6855,664.2964,0.1317,NO
341,27736.6855,-500.0000,0.0982,NO
342,27236.6855,-500.0000,0.1491,YES
343,27711.9220,475.2365,0.1838,NO
344,28063.2282,351.3062,0.1467,YES
345,28796.6444,733.4162,0.1051,NO
346,29164.7191,368.0747,0.1575,YES
347,29767.7886,603.0695,0.1281,NO
348,29267.7886,-500.0000,0.1105,NO
349,28767.7886,-500.0000,0.1512,NO
350,28267.7886,-500.0000,0.0957,NO
351,28709.8766,442.0880,0.1177,YES
352,29330.0401,620.1635,0.1039,YES
353,28830.0401,-500.0000,0.1077,YES
354,28330.0401,-500.0000,0.1617,YES
355,28870.6614,540.6214,0.1670,YES
356,29460.5886,589.9272,0.0909,NO
357,29741.0365,280.4478,0.1200,NO
358,30034.9015,293.8650,0.0964,NO
359,29534.9015,-500.0000,0.1298,NO
360,30118.0810,583.1795,0.1168,YES
361,29618.0810,-500.0000,0.0804,YES
362,30515.6113,897.5303,0.1126,YES
363,30015.6113,-500.0000,0.0810,NO
364,29515.6113,-500.0000,0.1535,NO
365,30295.3049,779.6936,0.1467,YES
366,29795.3049,-500.0000,0.1198,NO
367,29295.3049,-500.0000,0.1589,NO
368,28795.3049,-500.0000,0.0885,YES
369,28295.3049,-500.0000,0.1098,YES
370,29013.9429,718.6380,0.0997,YES
371,29510.3689,496.4260,0.1189,NO
372,29980.3121,469.9432,0.1730,YES
373,29480.3121,-500.0000,0.1579,NO
374,29759.4755,279.1634,0.1270,YES
375,30380.6339,621.1584,0.1060,NO
376,30830.5978,449.9639,0.1441,YES
377,31621.7589,791.1611,0.1314,YES
378,32376.1805,754.4216,0.1128,YES
379,33138.1061,761.9255,0.1991,NO
380,34015.1580,877.0519,0.0892,NO
381,34513.6165,498.4585,0.1039,YES
382,34013.6165,-500.0000,0.1667,YES
383,33513.6165,-500.0000,0.1100,YES
384,33013.6165,-500.0000,0.1320,NO
385,32513.6165,-500.0000,0.1222,NO
386,33041.7318,528.1153,0.2024,NO
387,33765.4418,723.7100,0.1359,NO
388,34230.4723,465.0305,0.1326,NO
389,34836.5256,606.0533,0.1262,YES
390,35612.7951,776.2695,0.1071,NO
391,36014.8903,402.0952,0.0847,NO
392,36546.0758,531.1855,0.1573,YES
393,36046.0758,-500.0000,0.1102,YES
394,35546.0758,-500.0000,0.1581,NO
395,35876.3685,330.2927,0.1153,NO
396,36506.1533,629.7848,0.0945,YES
397,36871.5325,365.3792,0.0854,NO
398,37255.5603,384.0278,0.1475,NO
399,36755.5603,-500.0000,0.1391,NO
400,37443.6519,688.0916,0.1210,NO
401,37867.4516,423.7997,0.1688,NO
402,37367.4516,-500.0000,0.1362,NO
403,38154.1249,786.6734,0.0807,YES
404,38869.1007,714.9758,0.0816,NO
405,39434.6056,565.5049,0.1052,NO
406,38934.6056,-500.0000,0.1367,YES
407,39701.4476,766.8420,0.1361,YES
408,39201.4476,-500.0000,0.1019,NO
409,38701.4476,-500.0000,0.1045,NO
410,38201.4476,-500.0000,0.0974,YES
411,38653.6279,452.1803,0.1900,YES
412,38153.6279,-500.0000,0.1143,YES
413,38605.9055,452.2776,0.1781,YES
414,39183.3591,577.4536,0.1076,YES
415,39459.3725,276.0134,0.1383,NO
416,40014.4740,555.1016,0.1138,YES
417,39514.4740,-500.0000,0.1341,YES
418,40440.7506,926.2766,0.1140,NO
419,41269.2562,828.5055,0.1104,NO
420,41887.2256,617.9694,0.1427,NO
421,41387.2256,-500.0000,0.1307,YES
422,40887.2256,-500.0000,0.1481,NO
423,41375.2527,488.0271,0.1030,NO
424,40875.2527,-500.0000,0.0977,NO
425,40375.2527,-500.0000,0.1894,NO
426,39875.2527,-500.0000,0.0997,NO
427,39375.2527,-500.0000,0.1195,NO
428,39769.9449,394.6922,0.0922,YES
429,39269.9449,-500.0000,0.1183,YES
430,39558.2743,288.3294,0.0905,NO
431,40336.2619,777.9876,0.1304,YES
432,39836.2619,-500.0000,0.1954,YES
433,39336.2619,-500.0000,0.0874,NO
434,38836.2619,-500.0000,0.1345,YES
435,38336.2619,-500.0000,0.1105,YES
436,37836.2619,-500.0000,0.1941,YES
437,37336.2619,-500.0000,0.1372,NO
438,37645.5725,309.3106,0.1717,NO
439,37145.5725,-500.0000,0.1230,NO
440,37803.3789,657.8064,0.1515,YES
441,37303.3789,-500.0000,0.1554,NO
442,37943.6108,640.2319,0.1561,YES
443,37443.6108,-500.0000,0.1232,NO
444,36943.6108,-500.0000,0.1030,YES
445,37457.3238,513.7130,0.1184,YES
446,37834.6681,377.3443,0.0876,NO
447,38216.7127,382.0446,0.1491,YES
448,38828.6537,611.9410,0.1013,NO
449,38328.6537,-500.0000,0.1427,NO
450,39206.8545,878.2008,0.1010,NO
451,39881.4470,674.5925,0.1409,NO
452,39381.4470,-500.0000,0.1063,YES
453,40089.7929,708.3459,0.0972,NO
454,40893.0212,803.2283,0.1882,YES
455,40393.0212,-500.0000,0.1410,YES
456,41042.6457,649.6245,0.1488,NO
457,41515.4645,472.8188,0.1153,NO
458,41859.9527,344.4882,0.1617,YES
459,42200.3793,340.4266,0.1358,YES
460,41700.3793,-500.0000,0.1553,YES
461,41994.9201,294.5409,0.1303,NO
462,42684.6833,689.7632,0.1571,NO
463,43518.4951,833.8118,0.1539,NO
464,43018.4951,-500.0000,0.0925,YES
465,42518.4951,-500.0000,0.1055,YES
466,42018.4951,-500.0000,0.1405,YES
467,42669.8478,651.3527,0.1642,NO
468,43007.3573,337.5095,0.1140,YES
469,43323.6006,316.2433,0.1345,YES
470,43735.9107,412.3100,0.1414,YES
471,44269.1130,533.2023,0.1690,YES
472,44554.3764,285.2635,0.1420,NO
473,44844.1825,289.8061,0.1363,NO
474,45677.2283,833.0458,0.1982,NO
475,45177.2283,-500.0000,0.1304,YES
476,44677.2283,-500.0000,0.1145,YES
477,44177.2283,-500.0000,0.1407,NO
478,44503.3541,326.1258,0.1026,NO
479,44003.3541,-500.0000,0.1577,YES
480,44348.3300,344.9759,0.1003,YES
481,44629.1702,280.8402,0.1796,YES
482,44129.1702,-500.0000,0.1189,NO
483,44952.8348,823.6646,0.1558,YES
484,45834.5684,881.7336,0.0809,YES
485,46198.8593,364.2909,0.1580,YES
486,46483.6581,284.7989,0.1446,YES
487,45983.6581,-500.0000,0.0937,YES
488,46378.6122,394.9541,0.1224,YES
489,46763.4392,384.8270,0.1224,NO
490,47185.5705,422.1313,0.1552,NO
491,46685.5705,-500.0000,0.1532,NO
492,47306.4708,620.9003,0.0899,YES
493,48007.2905,700.8197,0.1465,YES
494,48659.3738,652.0832,0.1026,NO
495,49409.4013,750.0275,0.1012,NO
496,50271.9453,862.5440,0.1543,NO
497,50864.8614,592.9161,0.1653,NO
498,51187.2130,322.3516,0.1160,NO
499,51497.8362,310.6232,0.0829,YES
500,50997.8362,-500.0000,0.1283,YES
501,51553.3172,555.4810,0.1067,YES
502,51053.3172,-500.0000,0.1364,YES
503,50553.3172,-500.0000,0.1428,NO
504,51109.5030,556.1858,0.1691,YES
505,51490.4396,380.9365,0.1249,NO
506,51835.2478,344.8082,0.1431,YES
507,51335.2478,-500.0000,0.1387,NO
508,51712.7447,377.4969,0.1329,NO
509,52394.8829,682.1383,0.1629,YES
510,51894.8829,-500.0000,0.1088,YES
511,52198.8063,303.9233,0.1625,NO
512,52590.3046,391.4983,0.1285,YES
513,52090.3046,-500.0000,0.1483,YES
514,52907.4177,817.1131,0.1453,NO
515,52407.4177,-500.0000,0.1059,NO
516,53253.7836,846.3658,0.1105,NO
517,52753.7836,-500.0000,0.1160,YES
518,53593.9742,840.1907,0.1106,YES
519,53093.9742,-500.0000,0.0808,NO
520,53468.2169,374.2427,0.0819,YES
521,53746.6730,278.4561,0.1101,YES
522,53246.6730,-500.0000,0.1218,NO
523,52746.6730,-500.0000,0.1358,NO
524,53279.5416,532.8686,0.0926,NO
525,53900.3878,620.8462,0.1288,NO
526,53400.3878,-500.0000,0.1162,YES
527,54023.9745,623.5867,0.1039,YES
528,54388.4223,364.4478,0.1606,YES
529,54730.4815,342.0592,0.1048,NO
530,54230.4815,-500.0000,0.1014,YES
531,54936.2643,705.7828,0.1185,NO
532,55317.3943,381.1300,0.1558,YES
533,55639.2923,321.8980,0.1390,NO
534,56409.0354,769.7431,0.1543,YES
535,55909.0354,-500.0000,0.1419,NO
536,56484.3057,575.2703,0.1115,NO
537,55984.3057,-500.0000,0.0872,NO
538,56391.5204,407.2146,0.2118,NO
539,56951.5563,560.0359,0.1459,NO
540,56451.5563,-500.0000,0.1453,NO
541,55951.5563,-500.0000,0.1113,NO
542,56335.0891,383.5328,0.1271,NO
543,55835.0891,-500.0000,0.0852,YES
544,55335.0891,-500.0000,0.1029,NO
545,54835.0891,-500.0000,0.1379,YES
546,54335.0891,-500.0000,0.1892,NO
547,53835.0891,-500.0000,0.1418,YES
548,54187.2799,352.1909,0.1461,YES
549,54708.3345,521.0546,0.0895,NO
550,55016.5454,308.2108,0.1296,YES
551,55385.3087,368.7634,0.0835,NO
552,54885.3087,-500.0000,0.0809,NO
553,55293.5393,408.2306,0.0865,NO
554,55664.5346,370.9953,0.1431,YES
555,56234.4189,569.8843,0.1365,YES
556,56787.5103,553.0913,0.1386,YES
557,57078.3957,290.8854,0.1229,YES
558,57591.2271,512.8315,0.0813,NO
559,58055.4539,464.2268,0.1784,NO
560,57555.4539,-500.0000,0.0974,NO
561,57055.4539,-500.0000,0.1893,YES
562,57587.6013,532.1474,0.1171,NO
563,58148.0147,560.4134,0.1481,YES
564,58752.2364,604.2217,0.1125,NO
565,59310.7980,558.5616,0.1000,NO
566,58810.7980,-500.0000,0.1026,NO
567,59624.7700,813.9720,0.1252,YES
568,60346.8985,722.1285,0.1066,YES
569,60937.9645,591.0660,0.1519,NO
570,61493.0426,555.0781,0.0828,NO
571,60993.0426,-500.0000,0.0962,NO
572,61441.7182,448.6757,0.1264,YES
573,62023.9885,582.2702,0.1214,YES
574,62575.5757,551.5872,0.1399,YES
575,63053.6401,478.0644,0.1415,YES
576,62553.6401,-500.0000,0.0981,NO
577,62873.7738,320.1337,0.1214,YES
578,63412.1407,538.3669,0.1333,NO
579,63907.2008,495.0601,0.1571,NO
580,64592.9255,685.7248,0.1287,NO
581,64951.2254,358.2999,0.1250,NO
582,65313.6277,362.4022,0.1375,YES
583,64813.6277,-500.0000,0.1144,YES
584,64313.6277,-500.0000,0.1697,YES
585,63813.6277,-500.0000,0.1802,NO
586,64094.4740,280.8463,0.1652,NO
587,64365.8559,271.3820,0.1375,YES
588,63865.8559,-500.0000,0.0807,NO
589,63365.8559,-500.0000,0.0875,YES
590,64090.2422,724.3863,0.0930,NO
591,64993.5542,903.3120,0.1001,NO
592,65655.7964,662.2422,0.1061,YES
593,65155.7964,-500.0000,0.1200,NO
594,64655.7964,-500.0000,0.1760,NO
595,65341.8731,686.0766,0.1774,NO
596,65792.9271,451.0541,0.0920,NO
597,66142.7187,349.7915,0.1052,YES
598,65642.7187,-500.0000,0.1199,NO
599,65142.7187,-500.0000,0.1187,YES
600,64642.7187,-500.0000,0.1225,NO
601,64923.4337,280.7150,0.1314,YES
602,65327.3632,403.9295,0.0814,NO
603,64827.3632,-500.0000,0.0957,NO
604,65409.2721,581.9088,0.1209,NO
605,65704.3997,295.1276,0.1078,YES
606,65204.3997,-500.0000,0.2207,YES
607,65598.1500,393.7503,0.1204,NO
608,66008.3122,410.1622,0.1094,YES
609,66438.2311,429.9189,0.1328,YES
610,67145.8837,707.6526,0.1350,YES
611,67504.7796,358.8959,0.1297,NO
612,67004.7796,-500.0000,0.0953,NO
613,67831.7459,826.9663,0.0914,YES
614,68258.1325,426.3866,0.1240,NO
615,69040.3683,782.2358,0.1298,YES
616,68540.3683,-500.0000,0.0987,NO
617,68040.3683,-500.0000,0.1041,NO
618,68870.1328,829.7646,0.1035,YES
619,69288.3402,418.2074,0.1663,NO
620,68788.3402,-500.0000,0.1652,NO
621,68288.3402,-500.0000,0.1206,NO
622,68917.3724,629.0322,0.1742,NO
623,68417.3724,-500.0000,0.0998,YES
624,68767.5196,350.1472,0.1039,YES
625,68267.5196,-500.0000,0.1557,YES
626,68560.9471,293.4275,0.1506,YES
627,68060.9471,-500.0000,0.1422,YES
628,68346.6956,285.7485,0.0846,YES
629,67846.6956,-500.0000,0.1484,YES
630,67346.6956,-500.0000,0.1328,NO
631,66846.6956,-500.0000,0.1197,YES
632,67679.7477,833.0521,0.0976,YES
633,68396.4134,716.6656,0.1146,YES
634,68729.2498,332.8365,0.1560,YES
635,69415.2328,685.9830,0.1579,YES
636,68915.2328,-500.0000,0.1376,NO
637,68415.2328,-500.0000,0.1064,YES
638,68747.3870,332.1542,0.0992,NO
639,68247.3870,-500.0000,0.1331,YES
640,69044.6831,797.2961,0.1655,YES
641,69710.4970,665.8140,0.1409,YES
642,70033.1253,322.6283,0.1065,YES
643,69533.1253,-500.0000,0.1191,YES
644,69906.8938,373.7684,0.1109,YES
645,70228.0756,321.1818,0.1024,YES
646,70966.6550,738.5794,0.1879,YES
647,71420.5091,453.8541,0.1763,NO
648,72252.9770,832.4679,0.0862,NO
649,72751.7539,498.7769,0.1541,YES
650,72251.7539,-500.0000,0.1382,YES
651,72636.2276,384.4737,0.1606,NO
652,73105.3561,469.1286,0.1388,YES
653,73479.6765,374.3203,0.1019,YES
